id,birth_year,gender,industry,ind_detail,occupation,occ_detail,org_size,occupation_1,household,tenure,location,time_ly,org_encouraged,org_prepared,org_common,permission,collaboration,recommend,pref_time_ly,time_3m,time_3m_1,time_3m_2,time_3m_3,time_3m_4,time_3m_5,time_3m_6,pref_time_3m,pref_time_future,org_encourage_future,org_support_future,choice_future,productivity,commute_time,work_time,family_time,caring_time,commute_time_1,work_time_1,family_time_1,caring_time_1,best_aspect,worst_aspect,best_aspect_1,worst_aspect_1,best_aspect_2,worst_aspect_2,best_aspect_3,worst_aspect_3,best_aspect_4,worst_aspect_4,best_aspect_5,worst_aspect_5,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
1,1972,female,manufacturing,food product manufacturing,clerical and administrative,other clerical and administrative,between 20 and 199,no,couple with no dependent children,more than 5 years,regional,rarely or never,,,,,,,i would not have preferred to work remotely,90%,5.0,4.0,4.0,5.0,4.0,5.0,80%,90%,2,2,1,i 50% more productive when working remotely (or more),2.0,8.0,2.0,2.0,0.5,8.0,3.5,2.0,preparing for work and commuting,my working relationships,managing my personal commitments,my opportunities to socialise,preparing for work and commuting,my working relationships,managing my personal commitments,the number of hours  i work,my job satisfaction,the number of hours  i work,managing my personal commitments,my opportunities to socialise,difficulty collaborating remotely,connectivity (internet connection),i have tasks that can't be done remotely,connectivity (internet connection),cyber security,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",53
2,1972,male,wholesale trade,other goods wholesaling,managers,"chief executives, general managers and legislators",between 1 and 4,yes,couple with dependent children,more than 5 years,metro,20%,4.0,4.0,4.0,4.0,4.0,4.0,20%,20%,4.0,4.0,4.0,4.0,4.0,4.0,20%,20%,4,4,4,i 20% less productive when working remotely,2.0,7.0,3.0,3.0,0.0,7.0,3.0,3.0,my work-life balance,my on-the-job learning opportunities,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my personal relationships,my opportunities to socialise,"it equipment (computer, printer, etc.)",connectivity (internet connection),i have tasks that can't be done remotely,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,53
3,1982,male,"electricity, gas, water and waste services",gas supply,managers,"chief executives, general managers and legislators",more than 200,yes,one  parent family with dependent children,more than 5 years,metro,60%,4.0,4.0,3.0,4.0,3.0,3.0,50% - about half of my time,50% - i spent about half of my time remote working,3.0,4.0,4.0,3.0,4.0,3.0,60%,60%,4,4,4,i 10% less productive when working remotely,6.0,1.0,6.0,5.0,5.0,2.0,7.0,7.0,the number of hours  i work,preparing for work and commuting,managing my personal commitments,preparing for work and commuting,preparing for work and commuting,managing my family responsibilities,the number of hours  i work,my mental wellbeing,the number of hours  i work,my daily expenses,my mental wellbeing,my daily expenses,difficulty collaborating remotely,poor management,poor management,caring responsibilities,lack of motivation,connectivity (internet connection),43
4,1987,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,ict professionals,between 20 and 199,no,couple with dependent children,between 1 and 5 years,metro,20%,1.0,4.0,2.0,2.0,4.0,4.0,50% - about half of my time,100% - i spent all of my time remote working,5.0,2.0,4.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,4,5,4,my productivity is about same when i work remotely,1.0,9.0,1.0,2.0,0.0,9.0,3.0,2.0,my work-life balance,managing my family responsibilities,preparing for work and commuting,my opportunities to socialise,my personal relationships,my working relationships,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my personal relationships,my job satisfaction,feeling left out and/or isolated,cyber security,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",difficulty collaborating remotely,lack of motivation,my organisation's software and systems,38
5,1991,male,"transport, postal and warehousing",other transport,managers,specialist managers,between 5 and 19,yes,couple with no dependent children,more than 5 years,metro,less than 10% of my time,1.0,4.0,2.0,1.0,5.0,4.0,60%,90%,2.0,4.0,5.0,2.0,4.0,5.0,100% - all of my time,60%,1,1,1,i 20% more productive when working remotely,1.0,8.0,13.0,2.0,0.0,6.0,15.0,3.0,preparing for work and commuting,my on-the-job learning opportunities,managing my personal commitments,my working relationships,preparing for work and commuting,my daily expenses,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my opportunities to socialise,my job satisfaction,poor management,poor management,poor management,difficulty collaborating remotely,connectivity (internet connection),connectivity (internet connection),34
6,1989,male,retail trade,food retailing,sales,sales support,between 20 and 199,no,single person,between 1 and 5 years,metro,less than 10% of my time,4.0,5.0,4.0,5.0,5.0,5.0,40%,70%,5.0,5.0,5.0,5.0,5.0,5.0,50% - about half of my time,50% - about half of my time,4,4,4,my productivity is about same when i work remotely,1.0,8.0,2.0,2.0,0.0,7.0,3.0,3.0,preparing for work and commuting,my on-the-job learning opportunities,preparing for work and commuting,my working relationships,preparing for work and commuting,my job satisfaction,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my mental wellbeing,my job satisfaction,feeling left out and/or isolated,feeling left out and/or isolated,poor management,caring responsibilities,connectivity (internet connection),i have tasks that can't be done remotely,36
7,1973,male,financial and insurance services,finance,clerical and administrative,general clerical,more than 200,no,couple with dependent children,more than 5 years,metro,rarely or never,,,,,,,70%,100% - i spent all of my time remote working,5.0,4.0,5.0,1.0,5.0,5.0,100% - all of my time,90%,4,5,5,i 50% more productive when working remotely (or more),2.0,8.0,4.0,1.0,0.0,8.0,5.0,3.0,my on-the-job learning opportunities,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my daily expenses,my working relationships,my work-life balance,the number of hours  i work,my daily expenses,the number of hours  i work,my daily expenses,managing my personal commitments,poor management,connectivity (internet connection),poor management,feeling left out and/or isolated,lack of motivation,feeling left out and/or isolated,52
8,1992,male,manufacturing,polymer product and rubber product manufacturing,managers,"chief executives, general managers and legislators",between 5 and 19,yes,couple with dependent children,between 6 and 12 months,metro,80%,5.0,5.0,4.0,4.0,4.0,4.0,90%,90%,5.0,5.0,4.0,4.0,5.0,4.0,80%,80%,4,4,5,i 30% less productive when working remotely,1.0,8.0,4.0,3.0,0.4,6.0,4.0,6.0,my on-the-job learning opportunities,my work-life balance,preparing for work and commuting,managing my family responsibilities,my job satisfaction,managing my family responsibilities,my mental wellbeing,the number of hours  i work,my job satisfaction,the number of hours  i work,managing my personal commitments,my job satisfaction,caring responsibilities,connectivity (internet connection),i have tasks that can't be done remotely,connectivity (internet connection),lack of motivation,connectivity (internet connection),33
9,1977,male,administrative and support services,administrative services,clerical and administrative,general clerical,more than 200,no,single person,more than 5 years,metro,60%,5.0,4.0,3.0,4.0,4.0,4.0,60%,60%,5.0,4.0,5.0,4.0,4.0,4.0,70%,20%,3,3,2,i 30% more productive when working remotely,0.0,8.0,12.0,4.0,0.0,8.0,13.0,1.0,my work-life balance,the number of hours  i work,my mental wellbeing,my opportunities to socialise,my daily expenses,my job satisfaction,my mental wellbeing,the number of hours  i work,my job satisfaction,the number of hours  i work,my mental wellbeing,managing my personal commitments,poor management,poor management,poor management,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,48
10,1985,male,"electricity, gas, water and waste services",gas supply,managers,specialist managers,more than 200,no,group household,more than 5 years,metro,20%,2.0,4.0,2.0,3.0,4.0,3.0,20%,40%,5.0,4.0,5.0,5.0,3.0,3.0,i would not have preferred to work remotely,i would prefer not to work remotely,4,4,4,i 20% less productive when working remotely,3.0,8.5,4.0,2.0,1.0,8.5,6.0,2.0,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,managing my personal commitments,my opportunities to socialise,my daily expenses,my job satisfaction,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,lack of motivation,feeling left out and/or isolated,poor management,poor management,poor management,40
