id,birth_year,gender,tenure,industry,occupation,org_size,household,metro_or_regional,time_q4_2020,time_q4_2020_1,time_rem_2021,pref_time_2021,pref_time_future,these_questions_are_about,in_the_past_6,how_often_do_you,how_often_would_you,does_your_employer_have,how_much_of_your,thinking_about_your_employer,thinking_about_your_employer_1,thinking_about_your_employer_2,thinking_about_your_employer_3,how_do_you_feel,org_encouraged,org_prepared,org_common,permission,collaboration,thinking_about_remote_working,thinking_about_remote_working_1,do_you_think_remote,who_is_most_supportive,org_encourage_future,org_support_future,choice_future,commute_time,think_about_your_experience,caring_time,family_time,think_about_your_experience_1,commute_time_1,think_about_your_experience_2,caring_time_1,family_time_1,think_about_your_experience_3,imagine_your_employer_offered,what_is_the_biggest,have_the_following_barriers,have_the_following_barriers_1,have_the_following_barriers_2,have_the_following_barriers_3,have_the_following_barriers_4,have_the_following_barriers_5,have_the_following_barriers_6,have_the_following_barriers_7,have_the_following_barriers_8,have_the_following_barriers_9,have_the_following_barriers_10,have_the_following_barriers_11,have_the_following_barriers_12,have_the_following_barriers_13,have_the_following_barriers_14,have_the_following_barriers_15,feel_better,more_active,feel_better_1,manages_people,do_employees_you_manage,mgmt_discretion,mgmt_retain,mgmt_recruit,team_collab,mgmt_ease_remote,mgmt_poor_performers,mgmt_prepared_remote,mgmt_focus_results,mgmt_contact,productivity,now_think_about_the,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
1,1976,male,more than 5 years,other services,professionals - ict professionals,more than 200,couple with dependent children,metro,50% - i spent about half of my time remote working,80%,50% - i spent about half of my time remote working,80%,80%,yes,yes,50% - about half of my time,80%,yes,40%,4,4,4,4,somewhat positive,4,4,5,4,4,2,2,strongly positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,2.0,6.0,1.0,7.0,8.0,0.0,8.0,1.0,7.0,8.0,no,,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,somewhat improved,5,4,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,noisy work environment,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,lack of privacy,lack of privacy,connectivity/internet issues,49
2,1971,male,more than 5 years,construction,professionals - ict professionals,more than 200,couple with no dependent children,metro,10%,50% - about half of my time,less than 10% of my time,50% - about half of my time,50% - about half of my time,no,yes,10%,less than 10% of my time,yes,100% - all of my time,3,3,3,4,neither positive nor negative,3,3,3,3,3,3,3,somewhat negative,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,1.5,8.0,2.0,6.0,6.5,0.0,10.0,4.0,4.0,6.0,no,,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,interruptions,problems with audio-visual setup,difficulty innovating,noisy work environment,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,54
3,1978,female,between 6 and 12 months,financial and insurance,"professionals - business, human resource and marketing professionals",more than 200,single person,metro,100% - i spent all of my time remote working,100% - all of my time,90%,90%,60%,yes,no,,,yes,20%,5,3,1,3,strongly positive,5,5,5,5,5,1,5,somewhat positive,senior leadership,somewhat unlikely,somewhat likely,very likely,3.0,8.0,1.0,4.0,8.0,1.0,8.0,2.0,5.0,8.0,yes,0.1,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,stayed about the same,4,3,2,no,,,,,,,,,,,my productivity is about same when i work remotely,,,,,,,,47
4,1962,female,between 1 and 5 years,health care and social assistance,professionals - health professionals,between 20 and 199,one parent family with dependent children,regional,40%,40%,40%,40%,40%,yes,yes,40%,40%,yes,50% - about half of my time,4,4,4,4,neither positive nor negative,3,3,4,3,3,2,2,somewhat negative,they are about the same,somewhat likely,somewhat likely,somewhat likely,1.0,8.0,6.0,3.0,6.0,1.0,8.0,4.0,4.0,7.0,no,,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,stayed about the same,significantly worsened,significantly worsened,not a barrier for me,significantly worsened,significantly worsened,significantly worsened,significantly worsened,significantly worsened,significantly worsened,significantly worsened,4,4,4,yes,yes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),difficulty collaborating with remote colleagues,lack of privacy,interruptions,lack of privacy,problems with audio-visual setup,connectivity/internet issues,63
5,1974,male,more than 5 years,financial and insurance,managers - specialist managers,more than 200,couple with dependent children,regional,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,no,,,no,,5,4,5,4,somewhat positive,4,5,4,4,5,3,4,strongly positive,my direct manger(s),somewhat likely,somewhat likely,somewhat likely,5.0,8.0,2.0,3.0,6.0,,9.0,3.0,4.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,5,4,3,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,51
6,1985,male,between 1 and 5 years,manufacturing,technicians and trades workers - construction trades workers,between 5 and 19,couple with dependent children,metro,50% - i spent about half of my time remote working,40%,50% - i spent about half of my time remote working,50% - about half of my time,50% - about half of my time,yes,yes,70%,20%,no,,4,4,3,4,somewhat negative,3,3,2,3,3,3,3,somewhat negative,senior leadership,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,3.0,8.0,2.0,3.0,8.0,2.0,8.0,4.0,2.0,8.0,no,,stayed about the same,somewhat worsened,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,somewhat worsened,stayed about the same,3,3,3,no,,,,,,,,,,,im 20% more productive when working remotely,,noisy work environment,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,interruptions,connectivity/internet issues,interruptions,40
7,1973,male,more than 5 years,public administration and safety,managers - specialist managers,between 20 and 199,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,80%,100% - all of my time,100% - all of my time,yes,no,,,yes,20%,4,4,4,4,somewhat positive,4,4,4,4,4,2,4,somewhat positive,they are about the same,neither unlikely or likely,somewhat likely,somewhat likely,2.0,8.0,3.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0,no,,somewhat improved,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,4,4,4,yes,yes,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,im 10% more productive when working remotely,im 10% more productive when working remotely,difficulty collaborating with remote colleagues,connectivity/internet issues,connectivity/internet issues,lack of privacy,lack of privacy,difficulty innovating,52
8,1992,female,between 1 and 5 years,administrative and support,clerical and administrative workers - general clerical workers,more than 200,couple with no dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,90%,no,no,,,no,,4,4,3,4,somewhat positive,4,4,4,4,4,2,4,neither positive nor negative,they are about the same,somewhat likely,somewhat likely,neither unlikely or likely,1.5,8.5,0.5,5.5,8.0,0.5,9.0,0.5,5.0,9.0,no,,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,4,4,3,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,33
9,1970,female,more than 5 years,administrative and support,clerical and administrative workers - general clerical workers,more than 200,one parent family with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,50% - i spent about half of my time remote working,50% - about half of my time,50% - about half of my time,no,no,,,unsure,,5,5,4,5,somewhat positive,3,4,4,4,3,3,4,somewhat negative,senior leadership,somewhat likely,somewhat likely,neither unlikely or likely,1.0,8.0,5.0,2.0,8.0,1.0,7.0,5.0,3.0,8.0,yes,0.1,stayed about the same,stayed about the same,stayed about the same,stayed about the same,significantly improved,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,significantly improved,5,4,1,no,,,,,,,,,,,im 50% less productive when working remotely (or worse),,interruptions,lack of privacy,lack of appropriate work and meeting spaces,lack of privacy,lack of appropriate work and meeting spaces,interruptions,55
10,1981,female,between 1 and 5 years,other services,professionals - ict professionals,more than 200,couple with no dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,90%,100% - all of my time,100% - all of my time,yes,yes,less than 10% of my time,less than 10% of my time,unsure,,5,4,4,4,somewhat positive,3,5,5,4,5,3,2,somewhat positive,my direct manger(s),neither unlikely or likely,neither unlikely or likely,somewhat likely,1.5,8.0,0.0,7.5,7.0,0.5,8.0,0.0,8.5,7.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,5,1,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,44
